0.00000	-0.36738
0.00002	-0.37420
0.00005	-0.37972
0.00007	-0.38338
0.00009	-0.38535
0.00011	-0.38569
0.00014	-0.38435
0.00016	-0.38128
0.00018	-0.37638
0.00020	-0.37010
0.00023	-0.36174
0.00025	-0.35205
0.00027	-0.34117
0.00029	-0.32852
0.00032	-0.31455
0.00034	-0.29942
0.00036	-0.28301
0.00039	-0.26544
0.00041	-0.24709
0.00043	-0.22779
0.00045	-0.20774
0.00048	-0.18694
0.00050	-0.16560
0.00052	-0.14349
0.00054	-0.12123
0.00057	-0.09872
0.00059	-0.07563
0.00061	-0.05254
0.00063	-0.02926
0.00066	-0.00622
0.00068	0.01680
0.00070	0.03981
0.00073	0.06261
0.00075	0.08499
0.00077	0.10710
0.00079	0.12878
0.00082	0.14983
0.00084	0.17030
0.00086	0.19009
0.00088	0.20933
0.00091	0.22745
0.00093	0.24488
0.00095	0.26118
0.00098	0.27664
0.00100	0.29134
0.00102	0.30475
0.00104	0.31737
0.00107	0.32880
0.00109	0.33916
0.00111	0.34807
0.00113	0.35592
0.00116	0.36239
0.00118	0.36713
0.00120	0.37088
0.00122	0.37277
0.00125	0.37337
0.00127	0.37245
0.00129	0.36957
0.00132	0.36556
0.00134	0.35983
0.00136	0.35249
0.00138	0.34380
0.00141	0.33353
0.00143	0.32195
0.00145	0.30913
0.00147	0.29507
0.00150	0.27978
0.00152	0.26336
0.00154	0.24606
0.00156	0.22769
0.00159	0.20853
0.00161	0.18862
0.00163	0.16796
0.00166	0.14679
0.00168	0.12489
0.00170	0.10281
0.00172	0.08043
0.00175	0.05773
0.00177	0.03509
0.00179	0.01231
0.00181	-0.01038
0.00184	-0.03312
0.00186	-0.05572
0.00188	-0.07778
0.00190	-0.09976
0.00193	-0.12136
0.00195	-0.14248
0.00197	-0.16303
0.00200	-0.18298
0.00202	-0.20216
0.00204	-0.22032
0.00206	-0.23802
0.00209	-0.25454
0.00211	-0.27016
0.00213	-0.28480
0.00215	-0.29800
0.00218	-0.31032
0.00220	-0.32126
0.00222	-0.33099
0.00224	-0.33922
0.00227	-0.34605
0.00229	-0.35159
0.00231	-0.35540
0.00234	-0.35788
0.00236	-0.35870
0.00238	-0.35800
0.00240	-0.35574
0.00243	-0.35170
0.00245	-0.34645
0.00247	-0.33949
0.00249	-0.33103
0.00252	-0.32139
0.00254	-0.31017
0.00256	-0.29788
0.00259	-0.28419
0.00261	-0.26937
0.00263	-0.25350
0.00265	-0.23657
0.00268	-0.21894
0.00270	-0.20032
0.00272	-0.18136
0.00274	-0.16139
0.00277	-0.14110
0.00279	-0.12047
0.00281	-0.09921
0.00283	-0.07816
0.00286	-0.05662
0.00288	-0.03538
